,0
Schweizer Kompetenzzentrum Sozialwissensch. ,
Kantonsschule Stadelhofen,
Institut de recherches économiques Université de Neuchâtel,NE
Kantonale Fachstelle für Archäologie Staatsarchiv des Kantons Nidwalden,
Liceo di Lugano 2,TI
Antikenmuseum,
Haute école pédagogique fribourgeoise ,
Liceo economico-sociale,
Museum der Kulturen,
Tribunal des Mineurs,
Tschudi-Kommission der AGGS Staatsarchiv Zürich,ZH
Centre régional d'étude des populations alpines - CREPA,
Präsident der Schweizerischen Stiftung für das Stockalperschloss,
Diplomatische Dokumente der Schweiz,
nan,GR
Bibliothèque cantonale et universitaire,FR
Institut für chirurgische Technologien und Biomechanik (ISTB) Universität Bern,BE
Kommission zur Herausgabe der Basler Rektoratsmatrikel,
Mathematisch-naturwissensch. Gymnasium Kantonsschule Rämibühl Zürich,ZH
Archäologischer Dienst des Kantons Bern,BE
SUP della Svizzera italiana ,
Service de la recherche en éducation (SRED) Bibliothèque,
Unité d'études et de statistiques de l'Hospice général,
Nano-Cluster Bodensee,
Schweizerisches Literaturarchiv,
Curatorium de l'Atlas linguistique de l'Afghanistan,
Redaktion des Schweizerdeutschen Wörterbuchs,
Center for Experimental Pathology Istituto Cantonale di Patologia,
Pädagogische Hochschule St. Gallen ,SG
Schweizerische Gesellschaft für Theaterkultur,
Stadtarchiv Vadiana,
Naturhistorisches Museum Entomologie,
DEZA Fachsektion COPRET,
Association internationale de la sécurité sociale (AISS),
Mediplant Swiss Research Centre on Medicinal and Aromatic Plants,
Gymnase de Bellerive,
Hôpital de Zone de Morges,VD
swisstopo Bundesamt für Landestopographie,
Arbeitsstelle der Stiftung für kulturwissenschaftliche Forschungen,
Zürcher Handelskammer Börsengebäude,
Universität Zürich ,ZH
Bibliothèque Office fédéral de la statistique,
Kantonsarchäologie,
Schweizerische Nationalbibliothek,
Conservatoire et jardin botaniques de la Ville de Genève,GE
Institut d'études médiévales Université de Fribourg,FR
Kuratorium Schwyzer Orts- und Flurnamenbuch,
ETH Zürich ,ZH
Jacob Burckhardt-Stiftung,
Musée Historique de Lausanne,VD
Fondation Martin Bodmer,
Primarlehrerseminar Irchel,
Ecole supérieure d'enseignement infirmier,
Sportwissenschaftliches Institut Bundesamt für Sport Forschungsinstitut,
Kantonsspital St. Gallen ,SG
Centre for Socio-Eco-Nomic Development,
Gesundheitsdienst der Stadt Bern,BE
"Schweizerische Kommission ""Mittellateinisches Wörterbuch""",
Naturmuseum Winterthur,ZH
Volkswirtschaftliches Institut Abteilung Oekonometrie,
Schweiz. Gesellschaft für praktische Sozialforschung,
Pädagogische Hochschule Nordwestschweiz ,
Eidgenössisches Vakzine-Institut s. Institut für Viruskrankheiten und Immun. Mittelhäusern,
Ufficio studi e ricerche del Dipartimento dell'istruzione e della cultura,
SAMW Schweizerischen Akademie der Medizinischen Wissenschaften,
Eidg. Büro für die Gleichstellung von Frau und Mann,
Robert Walser,ZH
Universität Luzern ,LU
Evangelische Arbeitsstelle Oekumene Schweiz,
Kantonsschule Enge,
Forschungskomitee Rechtssoziologie und Rechtswirklichkeitsforschung der Schweizer Gesellschaft für Soziologie,
Schweiz. Hochschule für Logopädie Rorschach ,
Stiftung für Patientensicherheit,
Arbeitsgemeinschaft Swissaid / Fastenopfer / Brot für alle / Helvetas / Caritas,
Geschichte der Naturwissenschaften MN-Fakultät Universität Zürich,ZH
Arbeitsgemeinschaft zur Förderung des Futterbaues (AGFF),
Sozialmedizinische Beratungsstelle für Jugendliche Integrative Psych. Winterthur,ZH
Pädagogische Hochschule Wallis ,VS
Bibliotheque militaire fédérale,
Staatsarchiv des Kantons Luzern,LU
Association Pro Lousonna Musée cantonal d'Archéologie et d'Histoire,
Amt für Städtebau der Stadt Zürich Archäologie/Denkmalpflege,
Stadtärztlicher Dienst,
Stiftung FSMA-HR. Sennhauser,
Comité provisoire pour l'Edition des Oeuvres de Benjamin Constant,
Natur-Museum Luzern,LU
Schweizerisches Nationalmuseum Landesmuseum Zürich,ZH
Baudirektion des Kantons Zürich ARV Kantonale Denkmalpflege,
Stiftung Kinderdorf Pestalozzi,
Curia Vescovile,
Schweizerische Musikforschende Gesellschaft,
Département des travaux publics du Canton de Vaud,VD
Kantonsarchäologie Basel-Landschaft,BL
syndicom,
Forschungsinstitut zur Geschichte des Alpenraums,
Kantonsschule Sargans,SG
Sozialversicherungsgericht des Kantons Zürich,ZH
Commission nationale pour la publication des DDS,
Museum des Kantons Thurgau,TG
Musikwissenschaftliches Institut Universität Zürich,ZH
Stiftung Zürcher Kinder- und Jugendheime,
Institut für Viruskrankheiten und Immunprophylaxe,
Schweizerisches Institut für Volkskunde (SIV),
WDA Forum,
Weitere Spitäler ,
Zürcher Fachhochschule ,
Division d'Immunologie Moléculaire Institut Ludwig de Recherche sur le Cancer,
Inst. de Hautes Etudes Internat. et du Dév ,
Kantonsbibliothek Vadiana,
Gymnase du Bugnon,
Assocation suisse pour le service aux regions et communes (SEREC),
Trimarca AG,AG
Conservatoire de Lausanne,VD
Kantonsschule Freudenberg,
Sukkulentensammlung Zürich,ZH
Sucht Schweiz,
CABI,VD
